task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
64	fb/f58588	81886	publishStat (9)	COMPLETED	0	2021-11-23 19:40:28.466	93ms	0ms	-	-	-	-	-
12	16/7c468d	81486	preprocessMtsat (sub-invivo3_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 19:39:27.930	5m 12s	5m 8s	44.9%	165 MB	349.1 MB	30.4 MB	45.3 MB
65	88/9ba382	81986	fitMtratio (sub-invivo3_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 19:44:41.202	27.5s	24.2s	20.3%	161.2 MB	379.3 MB	97.2 MB	72.1 MB
66	c0/4bd4a6	81987	fitMtsat (sub-invivo3_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 19:44:41.207	45.3s	42.1s	21.8%	197.7 MB	414.8 MB	92.4 MB	76.4 MB
11	1f/f19494	81382	preprocessMtsat (sub-invivo3_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:39:05.123	6m 21s	6m 17s	42.0%	163.7 MB	349.1 MB	89.5 MB	68.9 MB
67	63/ecdaeb	82085	publishOutputs (10)	COMPLETED	0	2021-11-23 19:45:26.631	4.1s	133ms	7.4%	2.8 MB	3.9 MB	65.8 KB	192 B
68	f6/51cdd2	82083	prepStat (sub-invivo3_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 19:45:26.626	13.6s	9.5s	17.7%	109.3 MB	296.1 MB	59.4 MB	51.8 MB
71	39/253e8b	82284	publishStat (10)	COMPLETED	0	2021-11-23 19:45:41.248	71ms	0ms	-	-	-	-	-
69	1c/b860c2	82092	fitMtratio (sub-invivo3_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:45:26.637	23.4s	20.2s	20.5%	163.5 MB	385.2 MB	100.8 MB	74 MB
70	5f/c86bdf	82095	fitMtsat (sub-invivo3_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:45:26.642	40.7s	36.7s	28.0%	197.1 MB	414.8 MB	143.4 MB	113.3 MB
72	b7/3604aa	82337	publishOutputs (11)	COMPLETED	0	2021-11-23 19:46:08.338	2.2s	79ms	14.3%	0	0	65.8 KB	193 B
73	d4/b8ae45	82335	prepStat (sub-invivo3_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:46:08.332	7s	5.3s	29.3%	109.1 MB	296 MB	60 MB	52 MB
74	73/ff29b9	82448	publishStat (11)	COMPLETED	0	2021-11-23 19:46:16.325	69ms	0ms	-	-	-	-	-
10	5e/53f6b3	81104	preprocessMtsat (sub-invivo3_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:37:57.434	8m 50s	8m 47s	41.4%	213.7 MB	390.7 MB	43 MB	65.6 MB
75	21/1a1eb2	82517	fitMtratio (sub-invivo3_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:46:48.681	23.7s	20.4s	23.9%	201.6 MB	419.3 MB	137.2 MB	101.7 MB
76	82/a81660	82518	fitMtsat (sub-invivo3_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:46:48.686	33.7s	31.3s	28.2%	250.1 MB	467.8 MB	130.7 MB	107.6 MB
78	9a/a7f0e5	82615	publishOutputs (12)	COMPLETED	0	2021-11-23 19:47:23.430	3.3s	119ms	9.8%	0	0	65.8 KB	192 B
77	06/5f47ce	82614	prepStat (sub-invivo3_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:47:23.424	8.1s	5.4s	32.0%	143.5 MB	330 MB	82.1 MB	71.2 MB
79	b4/1294f5	82725	publishStat (12)	COMPLETED	0	2021-11-23 19:47:32.555	73ms	0ms	-	-	-	-	-
13	0c/59466d	81956	preprocessMtsat (sub-invivo2_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:44:40.194	6m 20s	6m 18s	41.2%	163.1 MB	352 MB	87.4 MB	66.8 MB
80	e8/c83eea	82811	fitMtratio (sub-invivo2_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:51:01.569	26.1s	23.4s	18.8%	160.8 MB	379.3 MB	100.8 MB	73.7 MB
14	48/7a02b7	82082	preprocessMtsat (sub-invivo2_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:45:26.621	6m 10s	6m 3s	43.2%	159.9 MB	351.7 MB	32.1 MB	46.5 MB
81	c9/2d3e0f	82812	fitMtsat (sub-invivo2_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:51:01.573	51.8s	49.1s	24.2%	197 MB	414.5 MB	143.4 MB	112.6 MB
